x actual,y actual,z actual,x estimated,y estimated,z estimated
46,229,310,36,219,309
32,18,310,32,33,273
42,115,310,40,115,287
151,12,310,139,20,309
154,130,310,142,122,313
163,226,310,155,221,331
140,24,269,125,29,264
140,135,269,126,128,247
149,232,269,137,222,254
62,229,269,54,221,252
48,24,269,41,33,246
51,121,269,51,119,248
57,213,234,55,213,231
56,112,234,47,112,206
57,7,234,49,18,243
148,121,234,137,121,229
148,20,234,137,43,189
148,210,234,137,209,216
149,37,198,143,42,181
145,114,198,139,114,179
151,198,198,144,189,189
52,184,198,50,182,196
54,105,198,54,105,181
52,29,198,52,29,191
61,106,156,61,106,156
58,31,156,58,33,132
59,191,156,59,192,158
121,102,156,114,102,119
123,185,156,119,171,127
124,24,156,117,24,134
124,24,156,117,24,134
